"ID","Name","Source","Repository","License","Language","Formats","Tags","Duplicates","Elements","Relationship","Views"
"3f7d61de","3 Lazy Load","GitHub","wilmerkrisp/patterns","Other","en","XML,CSV,JSON,ARCHIMATE","","0","77","123","1"
"_HgLVkCfdEeuxZMUIY-ihGw","payments-arch2","GenMyModel","","","en","XML,CSV,JSON,ARCHIMATE","","0","18","15","1"
"_oKizUAkiEeqB3a4sRh-tuQ","git-branching-init","GenMyModel","","","en","XML,CSV,JSON,ARCHIMATE","","0","16","18","1"
"e2173c89-25f1-4910-bfcb-517f402fee27","RHRRP-Reaching Home","GitHub","sara-sabr/EA-models","Creative Commons Zero v1.0 Universal","en","XML,CSV,JSON,ARCHIMATE","","0","104","86","1"
"_Wyy00NYTEemWXYASHrbj8g","Data model test","GenMyModel","","","en","XML,CSV,JSON,ARCHIMATE","","0","15","11","1"
"id-6f4836dec251418693177ccd3022d194","test","GitHub","yasenstar/EA","GPL 3.0","en","ARCHIMATE,XML,CSV,JSON","WARNING","0","13","2","1"
"623d0f97-9e75-4b2f-a63a-c3f165929563","IT Trasformation","GitHub","","","en","XML,CSV,JSON,ARCHIMATE","","0","98","111","7"
"_XVj6oENMEeufTvxJgLajhw","hip-platform","GenMyModel","","","en","XML,CSV,JSON,ARCHIMATE","","0","57","75","9"
"id-5cd06ac4-cbed-430d-877f-35efbf74f5ab","Freight Trust & Clearing Systems Model","GitHub","freight-trust/infrastructure","Apache License 2.0","en","XML,CSV,JSON,ARCHIMATE","","0","69","156","30"
"de0bbe07","4b Class Table Inheritance","GitHub","wilmerkrisp/patterns","Other","en","XML,CSV,JSON,ARCHIMATE","DUPLICATE","1","42","44","1"
"4990f2be-7474-419a-844b-1cbf92e903b3","MyWorkspace","GitHub","adriandolha/bigdata","Not found","en","XML,CSV,JSON,ARCHIMATE","","0","173","215","15"
"65b1f877-66f6-4135-9d5c-b0ff144719ee","Antergos","GitHub","avantys-solutionarchitecture/documentation","Unspecified","en","ARCHIMATE,XML,CSV,JSON","","0","91","140","1"
"_AaZmAENtEeqonN_RS9oRzw","Archimate - Qlikview and Microservices","GenMyModel","","","en","XML,CSV,JSON,ARCHIMATE","","0","59","57","1"
"235fba2d","lightblue","GitHub","lightblue-platform/lightblue","GNU General Public License v3.0","en","XML,CSV,JSON,ARCHIMATE","","0","282","317","12"
"id-5b97c7085db04d54afcb35431af5e1da","BanQuitoCM_models","GitHub","mjpazmino/banquitoCM_models","Not found","en","XML,CSV,JSON,ARCHIMATE","DUPLICATE","1","105","171","9"
"0132cf79","ASIS VGS","GitHub","","","en","XML,CSV,JSON,ARCHIMATE","","0","132","247","1"
"bffe40fc-f500-46c2-a306-f207899f3ed2","Andromeda Games","GitHub","Apress/migrating-to-azure","Other","en","XML,CSV,JSON,ARCHIMATE","DUPLICATE","1","494","248","18"
"a6ed29b2","6 domain services","GitHub","wilmerkrisp/patterns","Other","en","XML,CSV,JSON,ARCHIMATE","DUPLICATE","1","73","77","6"
"fff566e2","Decorator","GitHub","wilmerkrisp/patterns","Other","en","XML,CSV,JSON,ARCHIMATE","DUPLICATE","1","76","93","2"
"3f7514bc-08cb-4b1d-bc87-007288a45210","Data model test","GenMyModel","","","en","XML,JSON","","0","20","16","1"
"83bd5767","4a Serialized LOB","GitHub","wilmerkrisp/patterns","Other","en","XML,CSV,JSON,ARCHIMATE","","0","49","69","1"
"id-25bb9eb1ecfa4f1186e9e90318dd5c11","Architecture","GitHub","PHACDataHub/Architecture","Not found","en","XML,CSV,JSON,ARCHIMATE","","0","387","326","14"
"_AvkigFWSEeuh5NpLcuE3vA","Engineering team stakeholders","GenMyModel","","","en","XML,CSV,JSON,ARCHIMATE","","0","16","19","1"
"5844c3be","2 intention-revealing interfaces","GitHub","wilmerkrisp/patterns","Other","en","XML,CSV,JSON,ARCHIMATE","","0","31","31","1"
"f0feb6de-1a0b-4195-8a50-ae08d685dbb6","Sovrin Governance Framework Architecture Reference Model (SOVRIN ARM)","GitHub","mwherman2000/sovrin-arm","Apache License 2.0","en","XML,CSV,JSON,ARCHIMATE","DUPLICATE","9","90","144","5"
"1b2f1627-ae3f-404f-a498-8e3dd8b3cb12","Kay - Strategy","GitHub","mcfaddja/AEA-Kay-Archi","GNU General Public License v3.0","en","XML,CSV,JSON,ARCHIMATE","","0","22","24","1"
"7c7c2197","6a Front Controller","GitHub","wilmerkrisp/patterns","Other","en","XML,CSV,JSON,ARCHIMATE","","0","25","39","1"
